,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
41,41,8,8,8,56,3630688416842938112,204.5266603645184,-7.130868060906162,7.362790809565692,1.6119328000000002,15.081377,0.040827088,66.30694253245707,2006-Mar-01 17:16:15.685,-150.06788999999995,-122.31145,204.5176495880721,-7.1382122111691455,55,3.714902692043896e-05,56.0,7.0,216.16063265581005,78950.50947120806,2006,2222.16063265581,2438.3212653116198
42,42,127,127,127,2037,4079844650572890368,281.81302958485884,-21.231269791077235,11.860095352073447,3.0461617000000003,15.421819,0.0417411,64.84319504068685,2011-Feb-22 01:14:48.134,50.032448,-57.899574,281.81596744829164,-21.234669605587143,1265,0.00717971121077675,2037.0,144.0,211.38881583263912,77207.65109471312,2011,2222.388815832639,2433.777631665278
43,43,92,92,92,1043,4117285808938004608,265.98517164297624,-21.751949681059127,9.04138958921758,2.0480537,15.155732,0.02187429,65.98163584464247,2008-Jun-20 23:21:57.101,-33.926437,66.28196,265.9831445354692,-21.747989328362646,933,0.00024879959169238683,1043.0,13.0,215.10013285353443,78563.17252342492,2008,2223.1001328535344,2438.200265707069
44,44,41,41,41,305,6306720395374630656,223.62188183863955,-15.95165875523397,8.111507039215372,1.8275776,14.95874,0.013857466,66.85054919945814,2006-Sep-26 07:35:22.184,-209.09741,47.103848,223.60922372226744,-15.948807232695925,401,3.701922046467764e-05,305.0,7.0,217.93279039023352,79597.77236212889,2006,2223.9327903902335,2441.865580780467
45,45,107,107,107,1363,4090986242412412672,275.6878182691646,-21.585312923649735,4.699687423043384,0.9065094,15.09901,0.017703902,66.22950571168346,2009-Feb-17 21:35:23.287,42.080647,-81.346855,275.690342036785,-21.590191664260587,1051,0.0020643097886659805,1363.0,66.0,215.90818862008805,78858.30681160097,2009,2224.908188620088,2440.816377240176
46,46,14,14,14,98,3631700242418380928,202.43076713865275,-6.4743488992323925,11.813294043348158,3.0249662,14.618763,0.046504516,68.40524072072043,2006-Mar-09 06:35:28.972,136.82256,-68.41913000000001,202.43924258385087,-6.4785871081381865,72,3.4248810442386827e-05,98.0,7.0,223.00108474954857,81448.91619392512,2006,2229.0010847495487,2452.0021694990974
47,47,60,60,60,442,4126078775240268544,254.91140220297103,-22.10506951901217,9.817418559166068,2.5804615,14.076473000000002,0.023844626,71.04052153039122,2007-Feb-07 07:35:56.824,16.180395,-92.83792,254.91244310705082,-22.111041892994127,638,0.00011148351766117971,442.0,8.0,231.59210018907535,84586.69867305788,2007,2238.592100189075,2470.1842003781503
48,48,81,81,81,844,4117069273983580416,266.1000351121466,-22.194931200509227,2.2727466419429927,0.41697407,14.133722,0.07732869999999999,70.75276975161471,2008-Jan-15 16:46:10.949,32.382107,-1.8002849,266.1021098536424,-22.195046545867505,864,0.0002559142982681756,844.0,16.0,230.65402939026393,84244.0776945,2008,2238.654029390264,2469.308058780528
49,49,9,9,9,63,3630689305900733568,204.39430442431632,-7.1774990008023165,13.351081370595967,3.7190342,13.911286,0.17284295,71.88407847760216,2006-Mar-02 04:34:21.035,25.9655,-33.622833,204.3959946505743,-7.17968768177888,56,3.684507351680384e-05,63.0,7.0,234.34209583698302,85591.10708349968,2006,2240.342095836983,2474.684191673966
50,50,104,104,104,1287,4070317592773631232,269.7249861379695,-22.063684258112183,13.32656936088228,3.2554703,13.760634,0.14725578,72.67106801262534,2008-Feb-19 16:13:10.414,-41.086018,-30.615196,269.7222823599224,-22.06569897504724,891,0.0008534282836076818,1287.0,22.0,236.90768172115858,86528.16167183596,2008,2244.9076817211585,2481.815363442317
51,51,113,113,113,1532,4090742391351529856,273.8340166281984,-21.880869464580574,8.723330276186006,2.131936,13.780695,0.022657264,72.56528083600217,2009-Jan-23 04:02:03.929,27.1837,-10.947973,273.83580292205556,-21.88158887720517,1037,0.0004282316315157752,1532.0,20.0,236.56281552536706,86402.20274248507,2009,2245.562815525367,2482.1256310507342
52,52,80,80,80,831,4117632808047027712,263.20914306418615,-22.17194608355549,12.252814748037435,3.1169767000000004,13.485915,0.07421557599999999,74.15143773000041,2007-Dec-25 11:04:18.709,-46.894043,-45.146748,263.2059942089157,-22.174977610911473,843,0.000329132239154664,831.0,13.0,241.7336869998013,88290.81183980743,2007,2248.733686999801,2490.4673739996024
53,53,109,109,109,1431,4069837106209681664,271.8822283895792,-21.62787853250699,12.540120281636385,3.3173733,13.524312,0.081603125,73.94091459657099,2009-Jan-03 16:28:17.123,-79.32568,-55.310425,271.87691692746256,-21.63158198910128,1024,0.00043540862911522636,1431.0,18.0,241.0473815848214,88040.14565004017,2009,2250.0473815848213,2491.0947631696426
54,54,20,20,20,144,3678908736229824896,193.97786264302448,-4.398032015560351,9.778544407940402,2.3940277,13.338945,0.058067143,74.9684454694672,2006-May-14 17:16:52.259,-9.968594,-9.213801,193.97718589368102,-4.398657523459419,156,0.00010469165273491084,144.0,7.0,244.39713223046306,89263.60857585433,2006,2250.3971322304633,2494.7942644609266
55,55,61,61,61,450,4115534458733980672,256.1467891319399,-22.10721913642537,9.238914261307533,2.248684,13.295681,0.020814179,75.21239416155986,2007-Feb-18 12:50:45.544,-52.66044,-60.496513,256.14320247918954,-22.11133949683401,647,0.00030687719693072704,450.0,16.0,245.1924049666851,89554.07399003206,2007,2252.192404966685,2497.38480993337
