date,na1,na2,ra,dec,
 1986-Mar-23 00:00, , ,   239.74714,   11.05919,
 1986-Apr-02 00:00, , ,   239.61880,   11.27046,
 1986-Apr-12 00:00, , ,   239.43999,   11.46790,
 1986-Apr-22 00:00, , ,   239.21947,   11.64527,
 1986-May-02 00:00, , ,   238.96755,   11.79742,
 1986-May-12 00:00, , ,   238.69481,   11.92009,
 1986-May-22 00:00, , ,   238.41314,   12.00978,
 1986-Jun-01 00:00, , ,   238.13419,   12.06465,
 1986-Jun-11 00:00, , ,   237.86894,   12.08376,
 1986-Jun-21 00:00, , ,   237.62833,   12.06736,
 1986-Jul-01 00:00, , ,   237.42154,   12.01718,
 1986-Jul-11 00:00, , ,   237.25656,   11.93550,
 1986-Jul-21 00:00, , ,   237.14025,   11.82571,
 1986-Jul-31 00:00, , ,   237.07705,   11.69204,
 1986-Aug-10 00:00, , ,   237.07027,   11.53883,
 1986-Aug-20 00:00, , ,   237.12152,   11.37120,
 1986-Aug-30 00:00, , ,   237.23027,   11.19433,
 1986-Sep-09 00:00, , ,   237.39516,   11.01330,
 1986-Sep-19 00:00, , ,   237.61301,   10.83354,
 1986-Sep-29 00:00, , ,   237.87924,   10.65998,
 1986-Oct-09 00:00, , ,   238.18870,   10.49738,
 1986-Oct-19 00:00, , ,   238.53461,   10.35042,
 1986-Oct-29 00:00, , ,   238.90962,   10.22296,
 1986-Nov-08 00:00, , ,   239.30594,   10.11864,
 1986-Nov-18 00:00, , ,   239.71460,   10.04057,
 1986-Nov-28 00:00, , ,   240.12686,    9.99090,
 1986-Dec-08 00:00, , ,   240.53368,    9.97145,
 1986-Dec-18 00:00, , ,   240.92565,    9.98308,
 1986-Dec-28 00:00, , ,   241.29424,   10.02569,
 1987-Jan-07 00:00, , ,   241.63102,   10.09870,
 1987-Jan-17 00:00, , ,   241.92821,   10.20027,
 1987-Jan-27 00:00, , ,   242.17952,   10.32781,
 1987-Feb-06 00:00, , ,   242.37928,   10.47813,
 1987-Feb-16 00:00, , ,   242.52355,   10.64685,
 1987-Feb-26 00:00, , ,   242.61024,   10.82926,
 1987-Mar-08 00:00, , ,   242.63839,   11.02011,
 1987-Mar-18 00:00, , ,   242.60948,   11.21349,
 1987-Mar-28 00:00, , ,   242.52662,   11.40378,
 1987-Apr-07 00:00, , ,   242.39435,   11.58513,
 1987-Apr-17 00:00, , ,   242.21946,   11.75192,
 1987-Apr-27 00:00, , ,   242.00965,   11.89937,
 1987-May-07 00:00, , ,   241.77374,   12.02298,
 1987-May-17 00:00, , ,   241.52178,   12.11927,
 1987-May-27 00:00, , ,   241.26357,   12.18593,
 1987-Jun-06 00:00, , ,   241.00933,   12.22123,
 1987-Jun-16 00:00, , ,   240.76905,   12.22491,
 1987-Jun-26 00:00, , ,   240.55148,   12.19761,
 1987-Jul-06 00:00, , ,   240.36504,   12.14073,
 1987-Jul-16 00:00, , ,   240.21668,   12.05688,
 1987-Jul-26 00:00, , ,   240.11176,   11.94914,
 1987-Aug-05 00:00, , ,   240.05481,   11.82115,
 1987-Aug-15 00:00, , ,   240.04830,   11.67733,
 1987-Aug-25 00:00, , ,   240.09339,   11.52198,
 1987-Sep-04 00:00, , ,   240.19013,   11.35984,
 1987-Sep-14 00:00, , ,   240.33661,   11.19577,
 1987-Sep-24 00:00, , ,   240.53011,   11.03425,
 1987-Oct-04 00:00, , ,   240.76673,   10.87998,
 1987-Oct-14 00:00, , ,   241.04106,   10.73725,
 1987-Oct-24 00:00, , ,   241.34740,   10.60986,
 1987-Nov-03 00:00, , ,   241.67890,   10.50160,
 1987-Nov-13 00:00, , ,   242.02793,   10.41539,
 1987-Nov-23 00:00, , ,   242.38691,   10.35373,
 1987-Dec-03 00:00, , ,   242.74742,   10.31866,
 1987-Dec-13 00:00, , ,   243.10110,   10.31122,
 1987-Dec-23 00:00, , ,   243.43999,   10.33193,
 1988-Jan-02 00:00, , ,   243.75583,   10.38060,
 1988-Jan-12 00:00, , ,   244.04140,   10.45591,
 1988-Jan-22 00:00, , ,   244.29013,   10.55615,
 1988-Feb-01 00:00, , ,   244.49606,   10.67862,
 1988-Feb-11 00:00, , ,   244.65498,   10.81982,
 1988-Feb-21 00:00, , ,   244.76367,   10.97591,
 1988-Mar-02 00:00, , ,   244.82030,   11.14223,
 1988-Mar-12 00:00, , ,   244.82515,   11.31384,
 1988-Mar-22 00:00, , ,   244.77956,   11.48574,
 1988-Apr-01 00:00, , ,   244.68673,   11.65253,
 1988-Apr-11 00:00, , ,   244.55161,   11.80928,
 1988-Apr-21 00:00, , ,   244.37995,   11.95132,
 1988-May-01 00:00, , ,   244.17920,   12.07425,
 1988-May-11 00:00, , ,   243.95753,   12.17470,
 1988-May-21 00:00, , ,   243.72339,   12.24984,
 1988-May-31 00:00, , ,   243.48608,   12.29767,
 1988-Jun-10 00:00, , ,   243.25438,   12.31740,
 1988-Jun-20 00:00, , ,   243.03676,   12.30881,
 1988-Jun-30 00:00, , ,   242.84146,   12.27275,
 1988-Jul-10 00:00, , ,   242.67526,   12.21100,
 1988-Jul-20 00:00, , ,   242.54426,   12.12575,
 1988-Jul-30 00:00, , ,   242.45345,   12.02013,
 1988-Aug-09 00:00, , ,   242.40607,   11.89766,
 1988-Aug-19 00:00, , ,   242.40457,   11.76207,
 1988-Aug-29 00:00, , ,   242.44986,   11.61768,
 1988-Sep-08 00:00, , ,   242.54130,   11.46869,
 1988-Sep-18 00:00, , ,   242.67760,   11.31934,
 1988-Sep-28 00:00, , ,   242.85579,   11.17406,
 1988-Oct-08 00:00, , ,   243.07196,   11.03677,
 1988-Oct-18 00:00, , ,   243.32159,   10.91136,
 1988-Oct-28 00:00, , ,   243.59873,   10.80144,
 1988-Nov-07 00:00, , ,   243.89718,   10.70994,
 1988-Nov-17 00:00, , ,   244.21013,   10.63962,
 1988-Nov-27 00:00, , ,   244.52997,   10.59256,
 1988-Dec-07 00:00, , ,   244.84938,   10.57011,
 1988-Dec-17 00:00, , ,   245.16070,   10.57326,
 1988-Dec-27 00:00, , ,   245.45626,   10.60202,
 1989-Jan-06 00:00, , ,   245.72923,   10.65574,
 1989-Jan-16 00:00, , ,   245.97285,   10.73325,
 1989-Jan-26 00:00, , ,   246.18129,   10.83231,
 1989-Feb-05 00:00, , ,   246.34995,   10.95026,
 1989-Feb-15 00:00, , ,   246.47487,   11.08383,
 1989-Feb-25 00:00, , ,   246.55377,   11.22897,
 1989-Mar-07 00:00, , ,   246.58575,   11.38155,
 1989-Mar-17 00:00, , ,   246.57098,   11.53699,
 1989-Mar-27 00:00, , ,   246.51162,   11.69049,
 1989-Apr-06 00:00, , ,   246.41094,   11.83760,
 1989-Apr-16 00:00, , ,   246.27340,   11.97375,
